stop_id,stop_code,stop_name,street_name,latitude,longitude,direction,zone
N2892359E101870404,KJ606,Taman PKNS Beranang,Jalan Semenyih,2.892359,101.870404,1,1
N2893537E101773046,,Apartment Camellia,Jalan Taman Impian Putra,2.893537,101.773046,1,1
N2893569E101675186,PPJ1,Picc P5,Jalan P5,2.893569,101.675186,2,1
N2894309E101869946,KJ589,Pejabat Pertubuhan Peladang,Jalan Semenyih,2.894309,101.869946,2,1
N2894693E101774376,,Taman Impian Putra,Jalan Taman Impian Putra,2.894693,101.774376,2,1
N2895592E101673208,PPJ5,Presint 5 (Barat),Jalan P5,2.895592,101.673208,1,1
N2895659E101677529,PPJ29,Picc Main Entrance,,2.895659,101.677529,2,1
N2895863E101679219,,Taman Seri Empangan,Lebuh Gemilang,2.895863,101.679219,2,1
N2895867E101667752,PPJ11,Kementerian Pengajian Tinggi,Jalan P5,2.895867,101.667752,2,1
N2896024E101673401,PPJ327,Presint 5 (Barat),Jalan P5,2.896024,101.673401,2,1
N2896223E101664215,PPJ12,Apartment 5r3 P5,Jalan P5/7,2.896223,101.664215,2,1
N2896233E101869003,KJ608,Semenyih Parklands,Jalan Semenyih,2.896233,101.869003,1,1
N2896654E101869219,KJ588,Semenyih Parklands,Jalan Semenyih,2.896654,101.869219,2,1
N2897006E101665447,PPJ14,Presint 6 (Selatan),Jalan P5,2.897006,101.665447,2,1
N2897135E101665762,PPJ9,Presint 6 (Selatan),Jalan P5,2.897135,101.665762,1,1
N2897694E101671086,PPJ6,Heriot-Watt University P5 (Opp),Jalan P5,2.897694,101.671086,1,1
N2898268E101670839,PPJ19,Heriot-Watt University P5,Jalan P5,2.898268,101.670839,2,1
N2898637E101666378,PPJ8,Apartment 5r1 P5 (Opp),Jalan P5,2.898637,101.666378,1,1
N2898669E101672839,,Heriot-Watt University,Jalan Venna P5/2,2.898669,101.672839,2,1
N2898779E101779041,,Taman Bangi Villa,Jalan Seri Putra 4,2.898779,101.779041,2,1
N2898823E101668346,PPJ7,Kementerian Pelancongan,Jalan P5,2.898823,101.668346,1,1
N2898844E101778912,,Taman Bangi Villa (Opp),Jalan Seri Putra 4,2.898844,101.778912,1,1
N2898928E101666136,PPJ15,Apartment 5r1 P5,Jalan P5,2.898928,101.666136,2,1
N2899133E101668458,PPJ16,Marina Putrajaya,Jalan P5,2.899133,101.668458,2,1
N2900059E101631372,SP419,Masjid Cyberjaya 10,Persiaran Aspirasi,2.900059,101.631372,1,1
N2900277E101641947,SP424,Apartment Prima One,Persiaran Laman View,2.900277,101.641947,2,1
N2900647E101782894,,Pasar Bangi Lama,Jalan Bangi,2.900647,101.782894,2,1
N2901202E101781252,,Dewan Bangi (Opp),Jalan Seri Putra 4,2.901202,101.781252,2,1
N2901213E101781081,,Dewan Bangi,Jalan Seri Putra 4,2.901213,101.781081,1,1
N2901251E101636091,SP420,Setia Safiro,Persiaran Aspirasi,2.901251,101.636091,1,1
N2901426E101780777,,Dewan Pekan Bangi,Jalan Bangi,2.901426,101.780777,1,1
N2902484E101680169,PPJ35,Kementerian Wanita & Masyarakat,Persiaran Perdana,2.902484,101.680169,1,1
N2902493E101679655,PPJ36,Kementerian Wanita & Masyarakat,Persiaran Perdana,2.902493,101.679655,2,1
N2903160E101785349,,KTM Bangi,Jalan Aman 1,2.90316,101.785349,2,1
N2903314E101637543,SP421,Mulia Residences,Persiaran Sepang,2.903314,101.637543,2,1
N2903404E101681176,PPJ34,Dataran Gemilang,Lingkaran Gemilang Dua,2.903404,101.681176,1,1
N2903409E101681191,PPJ34,Dataran Gemilang,Lingkaran Gemilang 2,2.903409,101.681191,1,1
N2903506E101861686,KJ612,Pangsapuri Baiduri Blok H,Jalan Kesuma,2.903506,101.861686,2,1
N2903684E101867508,KJ587,Kolej Profesional Mara (Opp),Jalan Semenyih,2.903684,101.867508,2,1
N2903785E101642375,SP423,Kompleks Kediaman Kakitangan Awam Cyberjaya,Persiaran Laman View,2.903785,101.642375,2,1
N2903866E101867111,KJ609,Kolej Profesional Mara,Jalan Semenyih,2.903866,101.867111,1,1
N2903986E101679528,PPJ37,Dataran Gemilang,Lingkaran Gemilang Dua,2.903986,101.679528,1,1
N2904556E101784278,,SK Bangi,Jalan Aman 10,2.904556,101.784278,1,1
N2904778E101681029,PPJ33,Kementerian Pembangunan Luar Bandar,Persiaran Perdana,2.904778,101.681029,1,1
N2904787E101681022,PPJ33,Kementerian Klbw (Barat),Persiaran Perdana,2.904787,101.681022,1,1
N2904962E101680463,PPJ38,Kementerian Pembangunan Luar Bandar (Opp),Persiaran Perdana,2.904962,101.680463,2,1
N2905437E101863768,KJ610,Kolej Tinggi Mara Japan,Jalan Kesuma 3,2.905437,101.863768,2,1
N2905674E101863736,KJ615,Kolej Tinggi Mara Japan (Opp),Jalan Kesuma,2.905674,101.863736,2,1
N2906182E101635075,SP435,Sejati Lakeside (Opp),Persiaran Rimba Permai,2.906182,101.635075,1,1
N2906414E101866473,KJ616,Pusat Kemahiran Mara Beranang,Jalan Semenyih,2.906414,101.866473,1,1
N2906423E101634931,SP434,Sejati Lakeside,Persiaran Rimba Permai,2.9064229,101.6349312,1,1
N2906465E101653439,SP55,Balai Polis Cyberjaya,Jalan Cyber Point 5,2.906465,101.653439,1,1
N2909680E101647158,SP416,DXC Technology,Persiaran Rimba Permai,2.90968,101.647158,1,1
N2909689E101682725,PPJ56,Motocross Circuit (Timur),Persiaran Perdana,2.909689,101.682725,1,1
N2909734E101865672,KJ585,Perumahan Bandar Tasik Kesuma,Jalan Semenyih,2.909734,101.865672,2,1
N2909816E101682767,PPJ56,Motocross Circuit (Timur),Persiaran Perdana,2.909816,101.682767,1,1
N2909825E101649245,SP60,Ibu Pejabat LHDN (Barat),Persiaran Ceria,2.909825,101.649245,1,1
N2909856E101655788,SP56,Magic Centre,Persiaran Apec,2.909856,101.655788,2,1
N2909929E101665352,SP42,Sekolah Seri Puteri,Persiaran Rimba Permai,2.909929,101.665352,2,1
N2909976E101682162,PPJ39,Motocross Circuit,Persiaran Perdana,2.909976,101.682162,2,1
N2910984E101649653,SP59,Ibu Pejabat LHDN Malaysia,Persiaran Rimba Permai,2.910984,101.649653,1,1
N2911057E101683303,PPJ376,Galeria Pjh,Persiaran Perdana,2.911057,101.683303,1,1
N2911237E101683415,PPJ376,Galeria JPJ,Persiaran Perdana,2.911237,101.683415,1,1
N2911271E101639907,SP417,Kenwingston Business Centre,Persiaran Bestari,2.911271,101.639907,1,1
N2912047E101682703,PPJ40,Galeria Pjh,Persiaran Perdana,2.912047,101.682703,2,1
N2912051E101658168,SP57,Bomba Cyberjaya,Persiaran Rimba Permai,2.912051,101.658168,2,1
N2913212E101684406,PPJ177,Kementerian Pengangkutan,Lebuh Setia,2.913212,101.684406,1,1
N2913298E101686814,PPJ352,Kementerian Belia Dan Sukan,Jalan Tun Hussein,2.913298,101.686814,2,1
N2913304E101690232,PPJ302,Apartment P18r8,Jalan P18,2.913304,101.690232,2,1
N2913403E101656700,SP418,Bomba Cyberjaya (Barat),Persiaran Apec,2.913403,101.6567,1,1
N2913575E101655311,SP426,Kanvas,Jalan Teknokrat 6,2.913575,101.655311,1,1
N2913575E101656492,SP422,Prima 9,Persiaran Apec,2.913575,101.656492,2,1
